,LEAID,NAME,Graduation Rate,MZIP
165,2707320,BUTTERFIELD,0.9333,56120
166,2707350,BYRON,0.9648,55920
167,2707380,CALEDONIA,1.0,55921
168,2707410,CAMBRIDGE-ISANTI,0.8740000000000001,55008
169,2707450,CAMPBELL-TINTAH,0.7273000000000001,56522
170,2707470,CANBY,0.9787,56220
171,2707500,CANNON FALLS,0.9565,55009
172,2707590,CARLTON,0.9714,55718
173,2708070,CASS LAKE-BENA,0.3964,56633
174,2708100,CENTENNIAL,0.9041,55014
175,2708190,EASTERN CARVER COUNTY,0.949,55318
176,2708220,CHATFIELD,0.9701,55923
177,2708910,CHISHOLM,0.8378,55719
178,2708955,CITY ACADEMY,0.6053000000000001,55130
179,2709330,CLEVELAND,0.9474,56017
180,2709360,CLIMAX-SHELLY,0.8125,56523
181,2709420,CLOQUET,0.8305,55720
182,2709440,ROCORI,0.9385,56320
183,2709480,GREENWAY,0.9841,55764
184,2709510,COLUMBIA HEIGHTS,0.8619,55421
185,2709540,COMFREY,0.9,56019
186,2709690,CROMWELL-WRIGHT,0.9375,55726
187,2709720,CROOKSTON,0.7963,56716
188,2709750,CROSBY-IRONTON,0.8409,56441
189,2710060,DASSEL-COKATO,0.8795999999999999,55321
190,2710090,DAWSON-BOYD,0.9722,56232
191,2710140,DEER RIVER,0.8112999999999999,56636
192,2710170,DELANO,0.9777,55328
193,2710230,DETROIT LAKES,0.8695999999999999,56501
194,2710260,DILWORTH-GLYNDON-FELTON,0.9118,56529
195,2711010,DOVER-EYOTA,0.9459,55934
196,2711040,DULUTH,0.7809,55802
197,2711085,EAST CENTRAL,0.7881999999999999,55735
198,2711130,EAST GRAND FORKS,0.9111,56721
199,2711190,EDEN VALLEY-WATKINS,0.974,55329
200,2711220,EDGERTON,0.8845999999999999,56128
201,2711250,EDINA,0.9655,55424
202,2711520,ELY,0.9545,55731
203,2711670,MINNETONKA,0.9722,55345
204,2711760,FARIBAULT,0.6790999999999999,55021
205,2711820,FARMINGTON,0.9338,55024
206,2711880,FERGUS FALLS,0.6877,56537
207,2711910,FERTILE-BELTRAMI,0.963,56540
208,2712180,FISHER,1.0,56723
209,2712210,FLOODWOOD,0.9048,55736
210,2712240,FOLEY,0.931,56329
211,2712270,FOREST LAKE,0.8478,55025
212,2712300,FOSSTON,0.9831,56542
213,2712360,FRAZEE-VERGAS,1.0,56544
214,2712420,FRIDLEY,0.8101,55432
215,2712480,FULDA,0.9,56131
216,2712580,GFW,0.9091,55335
217,2712900,GOODHUE,0.9535,55027
218,2713040,GRANADA HUNTLEY EAST CHAIN,0.913,56039
219,2713110,COOK COUNTY,0.9273,55604
220,2713140,GRAND MEADOW,0.9655,55936
221,2713170,GRAND RAPIDS,0.9075,55744
222,2713380,HANCOCK,1.0,56244
223,2713530,HASTINGS,0.9573,55033
224,2713560,HAWLEY,0.9577,56549
225,2713590,HAYFIELD,0.9483,55940
226,2713680,HENDRICKS,0.5,56136
227,2713860,HENNING,0.9655,56551
228,2713920,HERMANTOWN,0.9603,55811
229,2713930,HERON LAKE-OKABENA,0.8421,56161
230,2713980,HIBBING,0.8795000000000001,55746
231,2714010,HILL CITY,0.9524,55748
232,2714040,HILLS-BEAVER CREEK,0.9655,56138
233,2714070,HINCKLEY-FINLAYSON,0.8143,55037
234,2714190,HOLDINGFORD,0.93,56340
235,2714220,EDEN PRAIRIE,0.878,55344
236,2714260,HOPKINS,0.8613,55305
237,2714280,HOUSTON,0.5851,55943
238,2714970,HUTCHINSON,0.8645999999999999,55350
239,2715000,INTERNATIONAL FALLS,0.902,56649
240,2715030,INVER GROVE HEIGHTS,0.8820999999999999,55076
241,2715510,ISLE,0.7347,56342
242,2715750,JORDAN,0.9406,55352
243,2716980,KASSON-MANTORVILLE,0.9854,55944
244,2717010,KELLIHER,0.9375,56650
245,2717100,KENYON-WANAMINGO,0.8983,55983
246,2717120,KERKHOVEN-MURDOCK-SUNBURG,0.931,56252
247,2717220,KIMBALL,0.8595999999999999,55353
248,2717250,LA CRESCENT-HOKAH,0.989,55947
249,2717520,LAKE CITY,0.913,55041
250,2717570,LAKE OF THE WOODS,0.9143,56623
251,2717780,LAKEVILLE,0.931,55044
252,2717880,LANCASTER,0.9375,56735
253,2717910,LANESBORO,1.0,55949
254,2717940,LAPORTE,0.7059000000000001,56461
255,2718060,LEROY-OSTRANDER,1.0,55951
256,2718070,LE SUEUR-HENDERSON,0.8125,56058
257,2718090,LEWISTON-ALTURA,0.9524,55952
258,2718210,LITCHFIELD,0.9072,55355
259,2718240,LITTLE FALLS,0.8820999999999999,56345
260,2718270,LITTLEFORK-BIG FALLS,0.9583,56653
261,2718330,LUVERNE,0.9121,56156
262,2718360,LYLE,0.9,55953
263,2718540,MABEL-CANTON,0.9565,55954
264,2718570,MADELIA,0.8305,56062
265,2718660,MAHNOMEN,0.4717,56557
266,2718750,MAHTOMEDI,0.9301,55115
267,2718780,MANKATO,0.8762000000000001,56002
268,2718810,MAPLE LAKE,0.96,55358
269,2718920,GRYGLA,0.9231,56727
270,2718940,MARSHALL,0.7676000000000001,56258
271,2718960,MARTIN COUNTY WEST,0.9516,56171
272,2719170,MCGREGOR,0.8695999999999999,55760
273,2719320,MEDFORD,0.9221,55049
274,2720550,MELROSE,0.8970999999999999,56352
275,2720580,MENAHGA,0.98,56464
276,2720670,MILACA,0.8957999999999999,56353
277,2721240,MINNEAPOLIS,0.6916,55411
278,2721270,MINNEOTA,0.9524,56264
279,2721320,MONTEVIDEO,0.9072,56265
280,2721390,MONTICELLO,0.9367,55362
281,2721420,MOORHEAD,0.7597,56560
282,2721450,MOOSE LAKE,0.8332999999999999,55767
283,2721480,MORA,0.8803,55051
284,2722920,WESTONKA,0.9535,55364
285,2722950,MOUNDS VIEW,0.9039,55126
286,2723010,MOUNTAIN LAKE,1.0,56159
287,2723310,NASHWAUK-KEEWATIN,0.85,55769
288,2723370,NEVIS,0.82,56467
289,2723400,NEW LONDON-SPICER,0.9583,56273
290,2723430,NEW PRAGUE AREA,0.929,56071
291,2723490,NEW ULM,0.9487,56073
292,2723520,NEW YORK MILLS,0.9773,56567
293,2723550,MARSHALL COUNTY CENTRAL,0.9375,56738
294,2723580,NICOLLET,0.9565,56074
295,2723820,NORTH BRANCH,0.8468000000000001,55056
296,2723850,NORTH ST PAUL-MAPLEWOOD OAKDALE,0.8451000000000001,55109
297,2723880,NORTHFIELD,0.9188,55057
298,2723910,CENTRAL,0.9612,55368
299,2723970,OGILVIE,0.95,56358
300,2725050,ONAMIA,0.5832999999999999,56359
301,2725080,ORONO,0.9675,55356
302,2725140,OSAKIS,0.9815,56360
303,2725200,OSSEO,0.8492000000000001,55369
304,2728050,OWATONNA,0.8325,55060
305,2728080,PARK RAPIDS,0.7288,56470
306,2728110,PARKERS PRAIRIE,0.975,56361
307,2728140,PAYNESVILLE,1.0,56362
308,2728170,PELICAN RAPIDS,0.92,56572
309,2728200,PEQUOT LAKES,0.9615,56472
310,2728230,PERHAM-DENT,0.7787999999999999,56573
311,2728290,RUSHFORD-PETERSON,0.9302,55971
312,2728320,PIERZ,0.9213,56364
313,2728350,PILLAGER,0.9322,56473
314,2728380,PINE CITY,0.9141,55063
315,2728950,PINE ISLAND,0.9529,55963
316,2728970,PINE RIVER-BACKUS,0.8551000000000001,56474
317,2730030,PRINCETON,0.8144,55371
318,2730060,PRIOR LAKE-SAVAGE AREA,0.9221,55372
319,2730090,PROCTOR,0.9127,55810
320,2730150,RANDOLPH,0.9512,55065
321,2730450,RED LAKE FALLS,0.9032,56750
322,2730480,RED WING,0.8983,55066
323,2730510,RED LAKE,0.2448999999999999,56671
324,2730870,NORTHLAND COMMUNITY,0.8095,56672
325,2731750,RICHFIELD,0.7935,55423
326,2731780,ROBBINSDALE,0.7967,55427
327,2731800,ROCHESTER,0.8701000000000001,55902
328,2732070,ROCKFORD,0.9286,55373
329,2732250,ROSEAU,0.989,56751
330,2732390,ROSEMOUNT-APPLE VALLEY-EAGAN,0.9052,55068
331,2732430,ROSEVILLE,0.8792,55113
332,2732460,ROTHSAY,0.9524,56579
333,2732520,ROYALTON,0.9091,56373
334,2732550,RUSH CITY,0.9194,55069
335,2732700,SOUTH KOOCHICHING,0.8889,56661
336,2732820,SARTELL-ST STEPHEN,0.9819,56377
337,2732850,SAUK CENTRE,0.9398,56378
338,2732880,SAUK RAPIDS-RICE,0.899,56379
339,2732970,SEBEKA,0.9688,56477
340,2733000,SHAKOPEE,0.8344,55379
341,2733210,SLEEPY EYE,0.898,56085
342,2733270,SOUTH ST PAUL,0.8118000000000001,55075
343,2733300,SPRING GROVE,1.0,55974
344,2733330,SPRING LAKE PARK,0.8234999999999999,55432
345,2733390,SPRINGFIELD,0.9608,56087
346,2733420,ST ANTHONY-NEW BRIGHTON,0.9613,55418
347,2733450,ST CHARLES,0.8955,55972
348,2733480,ST CLAIR,1.0,56080
349,2733510,ST CLOUD,0.7106,56303
350,2733540,ST FRANCIS AREA,0.858,55070
351,2733600,ST JAMES,0.9054,56081
352,2733780,ST LOUIS PARK,0.9197,55426
353,2733790,ST MICHAEL-ALBERTVILLE,0.9498,55301
354,2733810,SOUTH WASHINGTON COUNTY,0.9208,55016
355,2733840,ST PAUL,0.7487999999999999,55102
356,2733870,ST PETER,0.943,56082
357,2733900,STAPLES-MOTLEY,0.9241,56479
358,2738160,STEWARTVILLE,0.8815000000000001,55976
359,2738190,STILLWATER AREA,0.915,55082
360,2738280,SWANVILLE,0.8571,56382
361,2738850,THIEF RIVER FALLS,0.9216,56701
362,2738880,ESKO,1.0,55733
363,2740665,TRITON,0.9403,55927
364,2740680,TRUMAN,0.95,56088
365,2740740,LAKE SUPERIOR,0.9439,55616
366,2740810,ULEN-HITTERDAL,0.9412,56585
367,2740830,UNDERWOOD,0.8889,56586
368,2740860,UPSALA,0.95,56384
369,2740920,VERNDALE,0.875,56481
370,2741040,VIRGINIA,0.9556,55792
371,2741060,WABASHA-KELLOGG,0.9375,55981
372,2741430,WABASSO,0.9706,56293
373,2741460,WACONIA,0.9601,55387
374,2741850,WARROAD,0.8608,56763
375,2741880,WASECA,0.8125,56093
376,2741910,WATERTOWN-MAYER,0.9672,55388
377,2742120,WAUBUN-OGEMA-WHITE EARTH SCH,0.7631999999999999,56589
